"homicide_rate","men_earings","women_earnings","earnings_ratio_gap","men_employment","women_employmet","employment_ratio_gap","wage_gap","male_literacy_2011","female_literacy_2011","female_prp","female_top_managers_2013","Country","Code"
11.4459326940681,NA,NA,31161000,NA,NA,33397058,NA,61.8790702819824,32.113224029541,NA,NA,"Afghanistan","AFG"
2.48109501283132,NA,NA,2914000,56.62,43.68,3227373,NA,98.7313613891602,98.8562393188477,14.7,11.7,"Albania","ALB"
0.755515422232272,NA,NA,82000,NA,NA,87518,NA,NA,NA,NA,NA,"Andorra","AND"
1.23460078992105,NA,NA,9142000,NA,NA,8105873,NA,NA,NA,NA,NA,"United Arab Emirates","ARE"
4.08923806573187,NA,NA,2884000,60.21,45.21,3108972,NA,99.8184204101563,99.8761901855469,NA,19.1,"Armenia","ARM"
0.82586303468968,NA,NA,8502000,63.62,52.37,8428915,18.2,NA,NA,27.1,NA,"Austria","AUT"
3.71665905775797,NA,NA,9265000,64.9,57.6,9421233,NA,99.9560317993164,99.9317626953125,NA,2.4,"Azerbaijan","AZE"
1.54672678216055,NA,NA,11085000,55.17,43.61,10787788,6.4,NA,NA,31.7,NA,"Belgium","BEL"
1.74376853766611,NA,NA,151006000,NA,NA,152408774,NA,NA,NA,NA,4.8,"Bangladesh","BGD"
2.45038909841712,NA,NA,7334000,50.79,42.64,7397873,NA,98.0669326782227,97.6510620117188,35.5,23.9,"Bulgaria","BGR"
1.60238091289041,NA,NA,1300000,NA,NA,1359485,NA,NA,NA,NA,NA,"Bahrain","BHR"
2.65089413611833,NA,NA,3605000,41.52,22.59,3744235,NA,NA,NA,23,24.1,"Bosnia and Herzegovina","BIH"
8.68369346328738,NA,NA,9417000,76.2,85.5,9527498,NA,NA,NA,NA,32.7,"Belarus","BLR"
1.46685415184759,NA,NA,399000,NA,NA,412892,NA,99.1998901367188,99.5460586547852,NA,NA,"Brunei","BRN"
1.11199344219019,NA,NA,702000,64.42,61.84,750443,NA,NA,NA,NA,NA,"Bhutan","BTN"
0.720027545456364,NA,NA,8008000,71.31,57.96,7733709,19.3,NA,NA,30.9,NA,"Switzerland","CHE"
1.17014369308925,NA,NA,1384205952,NA,NA,1353600687,NA,NA,NA,NA,NA,"China","CHN"
1.76706736243887,NA,NA,1135000,61.85,50.65,1129166,NA,99.8045425415039,99.8383102416992,16.4,NA,"Cyprus","CYP"
1.35373115303756,12.44,9.79,10581000,63.61,45.94,10565678,15.3,NA,NA,23.1,11.6,"Czech Republic","CZE"
0.805564195574929,NA,NA,80973000,62.75,51.23,81990837,15.3,NA,NA,27.1,NA,"Germany","DEU"
0.802655149239585,NA,NA,5611000,62.33,54.6,5592738,7,NA,NA,28.8,NA,"Denmark","DNK"
0.822220144286388,23.02,18.71,47063000,50.02,40.06,46771596,NA,99.6546478271484,99.7459716796875,28.8,NA,"Spain","ESP"
5.61458633730418,NA,NA,1323000,60.89,50.37,1339762,NA,99.9392395019531,99.9590377807617,31.6,25.3,"Estonia","EST"
1.80693802666295,NA,NA,5415000,58.46,52.03,5402627,18.7,NA,NA,29.7,NA,"Finland","FIN"
0.957296071571393,NA,NA,63564000,56.01,46.72,63457777,NA,NA,NA,39.2,NA,"France","FRA"
0.556427725442901,NA,NA,64525000,63.14,52.24,62798099,17.8,NA,NA,32.4,NA,"United Kingdom","GBR"
3.63423576624754,NA,NA,4064000,65.6,49.5,4304363,NA,NA,NA,NA,32,"Georgia","GEO"
1.41531298497303,NA,NA,10781000,48.08,31.58,11418878,6.9,NA,NA,22.2,NA,"Greece","GRC"
1.32689785750912,NA,NA,4296000,49.5,37.42,4387376,NA,99.712043762207,99.7357177734375,25.8,18.7,"Croatia","HRV"
1.88494088110392,NA,NA,9864000,52.53,40.2,9949589,11.3,NA,NA,36.3,20.4,"Hungary","HUN"
1.07971175870559,NA,NA,248452000,79.88,49.01,244769110,NA,98.803840637207,98.7518005371094,NA,NA,"Indonesia","IDN"
3.3166068483232,NA,NA,1265779968,77.17,22.48,1258350971,NA,90.0448303222656,81.8498077392578,13,NA,"India","IND"
