"public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","life_exp","median_age_2010","fertility","homicide_Rate"
2.92056601,0.530293219919053,0.784617292632875,3.26464633229042,2.20511778504949,3850.698916,16,0.730782275666389,11.44593269
2.7357041,-0.776414608259591,-0.0222763947111523,4.01577135949949,2.73560382683693,5967.871504,32.299999,0.227886704613674,2.481095013
5.74703988,-1.07639834360454,-0.431798275933005,4.20794185464491,3.53485076264328,6757.168804,31.4092436722689,0.292256071356476,0.755515422
2.55002589,-0.782684792226996,-0.154901959985743,4.77392599259558,3.29963604280888,5884.577521,31.9,0.260071387985075,1.23460079
2.95895087,0.292838862081535,0.0755469613925307,4.28386351114889,3.05424508422314,5715.057604,29.9,0.371067862271736,6.349178929
1.87568154,-1.39619565491346,0.161368002234975,3.87570542217115,2.52062810777492,5449.3924,32.900002,0.238046103128795,4.089238066
3.65233263,0.379186036061768,-0.154901959985743,4.27983114748257,3.05237699982345,5789.231569,29.299999,0.322219294733919,5.701403053
8.41718956,-1.97839988726713,-0.481486060122112,4.64886347692445,3.68689257221613,6545.780836,41.900002,0.164352855784437,0.825863035
1.2105966,-0.417012976361062,0.456366033129043,4.20107519008557,2.9414505362042,5113.108036,28.700001,0.311753861055754,3.716659058
8.18629897,-0.128416196137212,-0.455931955649724,4.61327593209448,3.62713343590411,6471.237136,40.900002,0.255272505103306,1.546726782
0.98448372,0.774028142212857,0.544068044350276,3.43242195061094,1.93018217586945,4985.207236,23.9,0.344392273685111,1.743768538
3.9998185,-1.30569075732424,-0.0809219076239261,4.19788942807501,3.05353278869187,5494.663876,42.400002,0.178976947293169,2.450389098
2.76266224,-0.0781969651181595,-0.167491087293764,4.61236348062517,3.25257838828141,5828.100964,30.1,0.320146286111054,1.602380913
3.29824927,-0.0400596819084886,-0.0915149811213502,4.46828262044071,3.23693395186084,5245.235776,30.9,0.262451089730429,31.29603021
7.08021227,-1.37064570050398,-0.244125144327509,3.99693644615383,2.97678252261995,5837.112801,38.900002,0.117271295655764,2.650894136
3.8657579,-0.862712437011967,-0.443697499232713,4.24253967422216,2.93424014364937,5194.0849,38.900002,0.209515014542631,8.683693463
3.57774343,0.508856298719119,0.184691430817599,3.90167809224211,2.65319277473908,5335.425936,21.9,0.421603926869831,27.36666815
3.77236617,0.890405183643553,0.523746466811564,3.76289850938128,2.52309251403138,4762.3801,22.799999,0.487138375477186,6.447812048
3.66135204,0.559708401542809,0.187520720836463,4.17954926753926,3.09944847006518,5506.975681,29,0.250420002308894,30.64070229
4.84151341,0.0136662406870272,0.110589710299249,4.21652915844292,3.0647662098165,6169.631209,37,0.252853030979893,11.29500474
2.11253245,-0.853147712454559,-0.0506099933550872,4.91378171382663,3.23203488913953,5619.301444,27.5,0.271841606536499,1.466854152
2.70086093,-0.00313118609213384,0.492760389026837,3.84712497314414,2.42887700638128,4797.363169,23.799999,0.350248018334163,1.111993442
7.65114455,-0.462819671526613,-0.318758762624413,4.62111953842928,3.66137920394713,6670.642276,39.700001,0.209515014542631,1.655104428
7.49878485,-0.694637007956577,-0.408935392973501,4.74934721484316,3.79049884156941,6827.055876,41.599998,0.181843587944773,0.720027545
