"","Country","Country_Code","Year","poverty_gap","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","homicide_Rate"
"1","Afghanistan","AFG",2012,7.7534439130097,0.4654670265164,1.35697955684399,2.46779253585061,3.26464633229042,2.20511778504949,11.44593269
"2","Albania","ALB",2012,6.64586724228653,0.437069121305831,0.639582169660104,0.974679434480896,4.01577135949949,2.73560382683693,2.481095013
"3","Algeria","DZA",2012,7.7534439130097,0.65516254036861,0.739412054713184,1.49666295470958,4.11932062172217,2.91452238451595,1.229985964
"6","Andorra","AND",2012,7.7534439130097,0.759444210811068,0.538146368707901,0.608276253029822,4.01477252192689,3.53485076264328,0.755515422
"7","Angola","AGO",2012,9.16536391014495,0.329868838507407,2.20697423014079,2.60384331325831,3.77814416452184,2.34878082415147,3.694127483
"8","Antigua and Barbuda","ATG",2012,7.7534439130097,0.562570323296851,1.24393162443622,0.836660026534076,4.27983114748257,3.05237699982345,5.701403053
"10","Argentina","ARG",2012,8.31220757716243,0.4711377542566,1.18361297004941,1.09087121146357,4.28386351114889,3.05424508422314,6.349178929
"11","Armenia","ARM",2012,6.83377673304411,0.273159104213067,0.44766288195212,1.20415945787923,3.87570542217115,2.52062810777492,4.089238066
"13","Australia","AUS",2012,7.7534439130097,0.798349038873502,0.66215143272925,0.6,4.63098138786637,3.6182384670548,1.362175759
"14","Austria","AUT",2012,7.7534439130097,0.925167107850127,0.320184296598399,0.574456264653803,4.64886347692445,3.68689257221613,0.825863035
"15","Azerbaijan","AZE",2012,6.9234728180679,0.0829994498480415,0.786586984430918,1.69115345252878,4.20107519008557,2.9414505362042,3.716659058
"16","Bahamas","BHS",2012,7.7534439130097,0.518283474987874,0.977203647894809,0.9,4.46828262044071,3.23693395186084,31.29603021
"17","Bahrain","BHR",2012,7.7534439130097,0.441327791803679,0.955984297237318,0.824621125123532,4.61236348062517,3.25257838828141,1.602380913
"18","Bangladesh","BGD",2012,9.38621448656257,-0.00679146121466391,1.56137433196642,1.87082869338697,3.43242195061094,1.93018217586945,1.743768538
"19","Barbados","BRB",2012,7.7534439130097,0.684981139097663,1.00789794604512,1.13578166916005,4.21652915844292,3.0647662098165,11.29500474
"20","Belarus","BLR",2012,0,0.587234652075779,0.608585906367607,0.6,4.24253967422216,2.93424014364937,8.683693463
"21","Belgium","BEL",2012,7.7534439130097,0.913087601370853,0.928743850041288,0.591607978309962,4.61327593209448,3.62713343590411,1.546726782
"22","Belize","BLZ",2012,7.13670154654361,0.553609192874592,1.34033721056094,1.2369316876853,3.90167809224211,2.65319277473908,27.36666815
"23","Benin","BEN",2012,9.11202443140892,0.33326461878855,1.93718410089093,2.65329983228432,3.26856700159671,1.92079941074026,5.453578299
"25","Bhutan","BTN",2012,6.32306224826594,0.431502222510838,0.998199167842775,1.76351920885484,3.84712497314414,2.42887700638128,1.111993442
"26","Bolivia","BOL",2012,8.53708816191232,0.576613841512843,1.6695571734138,1.82756668824971,3.76289850938128,2.52309251403138,6.447812048
"27","Bosnia and Herzegovina","BIH",2012,5.72527605258126,0.850046278354703,0.454295646362909,0.754983443527075,3.99693644615383,2.97678252261995,2.650894136
"28","Botswana","BWA",2012,7.82263858915688,0.597188455892798,1.52479980930274,1.91833260932509,4.15364703607639,2.94385294611366,8.642611649
"29","Brazil","BRA",2012,9.54170865452804,0.56364148842237,1.38015257610711,1.24096736459909,4.17954926753926,3.09944847006518,30.64070229
"30","Brunei","BRN",2012,7.7534439130097,0.324803388744901,0.611945959888123,0.94339811320566,4.91378171382663,3.23203488913953,1.466854152
"31","Bulgaria","BGR",2012,7.59145457866541,0.60204028476875,0.471603816131992,0.91104335791443,4.19788942807501,3.05353278869187,2.450389098
"32","Burkina Faso","BFA",2012,9.18310873013382,0.474269977735359,2.11560421232626,2.46170672501823,3.18225891053748,1.91594626747791,10.24386467
"33","Burundi","BDI",2012,9.33940609879438,0.692923141400221,2.32860310671958,2.30434372436058,2.89138996406379,1.78390438635971,0.622290311
"34","Cambodia","KHM",2012,7.4593456628612,0.177057415292341,1.41154010917372,1.80554700852678,3.44824350417121,2.24947554844544,2.55507946
"35","Cameroon","CMR",2012,9.14237688923161,0.0280614708838601,1.7806859301307,2.5377155080899,3.48018033420582,2.07102785911809,2.974867081
"36","Canada","CAN",2012,7.7534439130097,0.883726406992628,0.766116969577945,0.692820323027551,4.62111953842928,3.66137920394713,1.655104428
