"","Code","homicide_rate","gov_expen","gross_enrol_secondary","Year","gross_enrol_primary","Country","lower_secondary"
"2","AFG",11.4459326940681,2.52441000938416,56.6773414611816,2012,108.928520202637,"Afghanistan",73.914095293574
"3","AGO",3.69412748276066,4.52271359885505,80.8079946094089,2012,103.133186340332,"Angola",73.914095293574
"4","ALB",2.48109501283132,4.52271359885505,92.7414703369141,2012,104.784393310547,"Albania",94.165283203125
"5","AND",0.755515422232272,4.52271359885505,80.8079946094089,2012,103.133186340332,"Andorra",73.914095293574
"6","ARE",1.23460078992105,4.52271359885505,80.8079946094089,2012,101.423202514648,"United Arab Emirates",73.914095293574
"7","ARG",6.34917892854681,5.34582996368408,105.19255065918,2012,112.978256225586,"Argentina",87.6616516113281
"8","ARM",4.08923806573187,2.77248001098633,80.8079946094089,2012,103.133186340332,"Armenia",73.914095293574
"9","ASM",5.08376976855675,4.52271359885505,80.8079946094089,2012,103.133186340332,"American Samoa",73.914095293574
"10","ATG",5.7014030532165,4.52271359885505,105.393508911133,2012,97.8928604125977,"Antigua and Barbuda",100.062698364258
"11","AUS",1.36217575873871,4.89418983459473,136.879623413086,2012,106.453323364258,"Australia",73.914095293574
"12","AUT",0.82586303468968,5.48040008544922,97.7844161987305,2012,100.76927947998,"Austria",99.0087585449219
"13","AZE",3.71665905775797,2.06761002540588,100.268608093262,2012,97.9553070068359,"Azerbaijan",94.1759796142578
"14","BDI",0.622290311167657,5.82090997695923,27.8977909088135,2012,133.305282592773,"Burundi",19.7576999664307
"15","BEL",1.54672678216055,4.52271359885505,106.309463500977,2012,103.550163269043,"Belgium",93.9875793457031
"16","BEN",5.45357829910499,4.86815977096558,80.8079946094089,2012,122.76953125,"Benin",73.914095293574
"17","BFA",10.2438646687167,4.05353021621704,25.9408397674561,2012,83.6821899414063,"Burkina Faso",20.1663703918457
"18","BGD",1.74376853766611,2.17549991607666,53.5320510864258,2012,103.133186340332,"Bangladesh",73.914095293574
"19","BGR",2.45038909841712,3.50202989578247,93.1796417236328,2012,100.128936767578,"Bulgaria",40.3238105773926
"20","BHR",1.60238091289041,2.64530992507935,80.8079946094089,2012,103.133186340332,"Bahrain",73.914095293574
"21","BHS",31.2960302105403,4.52271359885505,80.8079946094089,2012,103.133186340332,"Bahamas",73.914095293574
"22","BIH",2.65089413611833,4.52271359885505,89.0124130249023,2012,100.494567871094,"Bosnia and Herzegovina",90.9727478027344
"23","BLR",8.68369346328738,4.95964002609253,107.004867553711,2012,98.9761428833008,"Belarus",97.6360321044922
"24","BLZ",27.3666681473627,4.52271359885505,78.3836517333984,2012,113.791709899902,"Belize",64.3162384033203
"25","BMU",3.43527631295124,4.52271359885505,75.2807006835938,2012,87.5051879882813,"Bermuda",76.0951232910156
"26","BOL",6.44781204759673,6.42524003982544,82.8828964233398,2012,103.133186340332,"Bolivia",87.7177200317383
"27","BRA",30.6407022936813,5.85510015487671,95.5837326049805,2012,130.376022338867,"Brazil",73.914095293574
"28","BRB",11.2950047401865,5.25890016555786,80.8079946094089,2012,103.133186340332,"Barbados",73.914095293574
"29","BRN",1.46685415184759,2.88959002494812,105.711692810059,2012,106.783729553223,"Brunei",104.243698120117
"30","BTN",1.11199344219019,4.52271359885505,73.6317672729492,2012,110.975616455078,"Bhutan",69.779670715332
